"District","Year","Month","AverageEVI","MaxEVI","MinEVI","MedianEVI"
"Matobo","2013","10",0.113539503434101,0.163215977048814,-0.0704786490035668,0.13674976959444
"Mazowe","2013","10",0.152940311816437,0.201432945773541,0.00061130928970074,0.166704133353176
"Mberengwa","2013","10",0.114447781525836,0.180853065345417,-0.105793652634393,0.14497623746292
"Mount Darwin","2013","10",0.152460386619337,0.186104672775867,0.0332977661261747,0.163998275149656
"Mudzi","2013","10",0.162452921243429,0.203728405970808,0.000747147711377882,0.175628679348912
"Murehwa","2013","10",0.170060986425285,0.236679598344602,-0.007135940041529,0.186724726527868
"Mutare","2013","10",0.164075813468894,0.310832023019212,-0.0901499050476471,0.177178135966467
"Mutasa","2013","10",0.208532372904423,0.387656460868749,-0.0515862640990732,0.231095242480047
"Mutoko","2013","10",0.175495927650958,0.218536479522179,0.0456665889728073,0.18826003943771
"Mwenezi","2013","10",0.101550578622807,0.168195676029635,-0.17113888648202,0.124075456208788
"Nkayi","2013","10",0.161826141967889,0.197867825140566,0.0478067677452707,0.173556391598616
"Nyanga","2013","10",0.197535721128413,0.397209896407273,0.0194215814828216,0.202652074132274
"Rushinga","2013","10",0.156232712992068,0.190971432143513,0.00486914181080462,0.165897836458796
"Seke","2013","10",0.152250232378046,0.215503135360875,-0.0933958200772484,0.166495849972151
"Shamva","2013","10",0.155609495934143,0.20160360511714,0.0227324518078832,0.172145539275707
"Shurugwi","2013","10",0.130749659321804,0.194116161664131,-0.0347330995689839,0.156557966119325
"Tsholotsho","2013","10",0.16648305017486,0.194710494443417,0.124694201533981,0.166610113391838
"Umguza","2013","10",0.149346514551594,0.182280489809838,0.0189906987077398,0.161768367731499
"UMP","2013","10",0.169125162902065,0.210382380487418,0.0551469339828738,0.180135813421704
"Umzingwane","2013","10",0.127074666845687,0.170144353933774,0.0339284598970793,0.143230666419265
"Wedza","2013","10",0.150117162073421,0.215353411464081,-0.0842593534374709,0.162695892779218
"Zaka","2013","10",0.164285452430484,0.242087660621406,0.0181901761523217,0.187098310331106
"Zvimba","2013","10",0.137639812023516,0.179547769303936,-0.0587593767479617,0.14847937526833
"Zvishavane","2013","10",0.117847458458407,0.173603514944205,-0.0782469828784311,0.139502181709533
"Beitbridge","2014","04",0.259045489874488,0.382136293687853,0.112985617981801,0.259285405780015
"Bikita","2014","04",0.276243729642137,0.418290590701862,0.0131803868314424,0.305586750144121
"Bindura","2014","04",0.3010936000037,0.467106013732921,0.0462541998239111,0.305243562809266
"Binga","2014","04",0.293578990890692,0.430213457940002,0.115083021629153,0.306305750886556
"Bubi","2014","04",0.302272594812701,0.435087407582157,-0.000194896912894744,0.299803191646117
"Buhera","2014","04",0.219037239884118,0.320794467944812,0.0835824286936039,0.225433020682854
"Bulawayo","2014","04",0.267787834449029,0.39655938858324,0.112096077733646,0.28025385932458
"Bulilima (North)","2014","04",0.310546419812364,0.431335962060652,0.071086675428319,0.317946425301209
"Centenary","2014","04",0.340438113211023,0.480656044292997,0.163527968708993,0.347374557781446
"Chegutu","2014","04",0.287643953467996,0.423603257398039,0.121521522389191,0.279789803607639
