"District","Type","Year","NDVI"
"Matobo","Average","Aug",0.292145681741936
"Umzingwane","Average","Aug",0.300980666967742
"Bikita","Average","Aug",0.315642409290323
"Chiredzi","Average","Aug",0.330452585387097
"Chivi","Average","Aug",0.293210295806452
"Gutu","Average","Aug",0.275333481677419
"Masvingo","Average","Aug",0.32626044683871
"Mwenezi","Average","Aug",0.315207481677419
"Zaka","Average","Aug",0.350993991870968
"Chegutu","Average","Aug",0.295673010516129
"Hurungwe","Average","Aug",0.330318515677419
"Kadoma","Average","Aug",0.306474472129032
"Kariba","Average","Aug",0.233244904548387
"Makonde","Average","Aug",0.331205843741935
"Zvimba","Average","Aug",0.303218389709677
"Harare","Average","Sep",0.297377540866667
"Bulawayo","Average","Sep",0.256018327933333
"Buhera","Average","Sep",0.2356737291
"Chimanimani","Average","Sep",0.4518401494
"Chipinge","Average","Sep",0.345806606033333
"Makoni","Average","Sep",0.298633150133333
"Mutare","Average","Sep",0.301617025366667
"Mutasa","Average","Sep",0.429610584833333
"Nyanga","Average","Sep",0.361888073766667
"Bindura","Average","Sep",0.317828648866667
"Guruve","Average","Sep",0.3010740249
"Mount Darwin","Average","Sep",0.2910859916
"Mazowe","Average","Sep",0.3159133925
"Centenary","Average","Sep",0.295310846733333
"Rushinga","Average","Sep",0.2990075148
"Shamva","Average","Sep",0.3195552342
"Chikomba","Average","Sep",0.287905762133333
"Goromonzi","Average","Sep",0.317322927666667
"Marondera","Average","Sep",0.307250957166667
"Mudzi","Average","Sep",0.288639779433333
"Mutoko","Average","Sep",0.294041856066667
"Murehwa","Average","Sep",0.307626741866667
"UMP","Average","Sep",0.2978944333
"Seke","Average","Sep",0.283194546366667
"Wedza","Average","Sep",0.297088722733333
"Chirumhanzu","Average","Sep",0.297557776866667
"Gokwe North","Average","Sep",0.280491626533333
"Gokwe South","Average","Sep",0.295990173233333
"Gweru","Average","Sep",0.2877071779
"Kwekwe","Average","Sep",0.301143794166667
"Mberengwa","Average","Sep",0.286528229666667
"Shurugwi","Average","Sep",0.296564072033333
"Zvishavane","Average","Sep",0.277820442466667
"Binga","Average","Sep",0.291817272233333
"Bubi","Average","Sep",0.294806071933333
"Hwange","Average","Sep",0.296628000633333
"Lupane","Average","Sep",0.323702152333333
"Nkayi","Average","Sep",0.303657056133333
"Tsholotsho","Average","Sep",0.291386641166667
"Umguza","Average","Sep",0.298062340866667
"Beitbridge","Average","Sep",0.244451376766667
"Bulilima (North)","Average","Sep",0.267807008433333
"Gwanda","Average","Sep",0.266201491333333
"Insiza","Average","Sep",0.2753334887
"Mangwe (South)","Average","Sep",0.2663523233
"Matobo","Average","Sep",0.275679328866667
"Umzingwane","Average","Sep",0.282715576733333
"Bikita","Average","Sep",0.2896961643
"Chiredzi","Average","Sep",0.296080684366667
"Chivi","Average","Sep",0.270382447033333
"Gutu","Average","Sep",0.271093071166667
"Masvingo","Average","Sep",0.303577108733333
"Mwenezi","Average","Sep",0.2901899213
"Zaka","Average","Sep",0.318654383366667
"Chegutu","Average","Sep",0.280047753033333
"Hurungwe","Average","Sep",0.3039945377
"Kadoma","Average","Sep",0.2907889937
"Kariba","Average","Sep",0.279387404033333
"Makonde","Average","Sep",0.300151665233333
"Zvimba","Average","Sep",0.2838087974
"Harare","Average","Oct",0.326770720064516
"Bulawayo","Average","Oct",0.263885687903226
"Buhera","Average","Oct",0.231989364548387
"Chimanimani","Average","Oct",0.461543842225806
"Chipinge","Average","Oct",0.337041446129032
"Makoni","Average","Oct",0.328702060516129
"Mutare","Average","Oct",0.312999187677419
"Mutasa","Average","Oct",0.457791046903226
"Nyanga","Average","Oct",0.404882435870968
"Bindura","Average","Oct",0.334551794225806
"Guruve","Average","Oct",0.298589865290323
"Mount Darwin","Average","Oct",0.286502872903226
"Mazowe","Average","Oct",0.340460338419355
"Centenary","Average","Oct",0.295874893032258
"Rushinga","Average","Oct",0.302825584903226
"Shamva","Average","Oct",0.331322748387097
"Chikomba","Average","Oct",0.302965315451613
"Goromonzi","Average","Oct",0.343128506741935
"Marondera","Average","Oct",0.333227191967742
"Mudzi","Average","Oct",0.299881572483871
"Mutoko","Average","Oct",0.323470119387097
"Murehwa","Average","Oct",0.336087480741936
"UMP","Average","Oct",0.309783530387097
"Seke","Average","Oct",0.305600267322581
"Wedza","Average","Oct",0.318567878322581
"Chirumhanzu","Average","Oct",0.306489971193548
"Gokwe North","Average","Oct",0.281533681096774
"Gokwe South","Average","Oct",0.302718088451613
"Gweru","Average","Oct",0.29570314
"Kwekwe","Average","Oct",0.31641277983871
"Mberengwa","Average","Oct",0.285265745612903
"Shurugwi","Average","Oct",0.303716895612903
"Zvishavane","Average","Oct",0.277115483451613
"Binga","Average","Oct",0.29546807683871
"Bubi","Average","Oct",0.30584546016129
"Hwange","Average","Oct",0.308318776967742
"Lupane","Average","Oct",0.348570513387097
"Nkayi","Average","Oct",0.324657742806452
"Tsholotsho","Average","Oct",0.297134618741935
"Umguza","Average","Oct",0.306458732193548
"Beitbridge","Average","Oct",0.238498323677419
"Bulilima (North)","Average","Oct",0.267558418677419
"Gwanda","Average","Oct",0.261650719580645
"Insiza","Average","Oct",0.278092464387097
"Mangwe (South)","Average","Oct",0.266912259129032
"Matobo","Average","Oct",0.276151953806452
"Umzingwane","Average","Oct",0.288236219935484
"Bikita","Average","Oct",0.284022958258065
"Chiredzi","Average","Oct",0.282003308580645
"Chivi","Average","Oct",0.264417852451613
"Gutu","Average","Oct",0.277010245870968
"Masvingo","Average","Oct",0.297860565645161
"Mwenezi","Average","Oct",0.286415044032258
"Zaka","Average","Oct",0.300955904290323
"Chegutu","Average","Oct",0.293559985870968
"Hurungwe","Average","Oct",0.305744700451613
"Kadoma","Average","Oct",0.299456419032258
"Kariba","Average","Oct",0.280142446709677
"Makonde","Average","Oct",0.315298129548387
"Zvimba","Average","Oct",0.302163722903226
"Harare","Average","Nov",0.367801471666667
"Bulawayo","Average","Nov",0.299513195633333
"Buhera","Average","Nov",0.2566142664
"Chimanimani","Average","Nov",0.521738087166667
"Chipinge","Average","Nov",0.393690583466667
"Makoni","Average","Nov",0.400229839333333
"Mutare","Average","Nov",0.3742813666
"Mutasa","Average","Nov",0.518202774433333
"Nyanga","Average","Nov",0.4757597502
"Bindura","Average","Nov",0.389035697833333
"Guruve","Average","Nov",0.303248909666667
"Mount Darwin","Average","Nov",0.308877261766667
"Mazowe","Average","Nov",0.3713656998
"Centenary","Average","Nov",0.313735252733333
"Rushinga","Average","Nov",0.3400161615
"Shamva","Average","Nov",0.3847415055
"Chikomba","Average","Nov",0.341814944866667
"Goromonzi","Average","Nov",0.405626016933333
"Marondera","Average","Nov",0.3904417904
"Mudzi","Average","Nov",0.3341732901
"Mutoko","Average","Nov",0.374574799833333
"Murehwa","Average","Nov",0.3971857918
"UMP","Average","Nov",0.349085514
"Seke","Average","Nov",0.356244518
"Wedza","Average","Nov",0.382867676233333
"Chirumhanzu","Average","Nov",0.341758897333333
"Gokwe North","Average","Nov",0.2968921629
"Gokwe South","Average","Nov",0.322611467233333
"Gweru","Average","Nov",0.341480464833333
"Kwekwe","Average","Nov",0.351667911466667
"Mberengwa","Average","Nov",0.325636418733333
"Shurugwi","Average","Nov",0.346632917666667
"Zvishavane","Average","Nov",0.310226022833333
"Binga","Average","Nov",0.3257609277
"Bubi","Average","Nov",0.343145358466667
"Hwange","Average","Nov",0.327261881533333
"Lupane","Average","Nov",0.3718473732
"Nkayi","Average","Nov",0.355816976466667
"Tsholotsho","Average","Nov",0.3150335772
"Umguza","Average","Nov",0.338996605633333
"Beitbridge","Average","Nov",0.2709193517
"Bulilima (North)","Average","Nov",0.2931890004
"Gwanda","Average","Nov",0.281306073666667
"Insiza","Average","Nov",0.317058456433333
