"District","DateBegin","DateEnd","SoilMoisture"
"Buhera","SM20150526","20150528",3.08858056656568
"Chimanimani","SM20150526","20150528",6.60100000598961
"Chipinge","SM20150526","20150528",3.47023384877509
"Makoni","SM20150526","20150528",4.69019472343728
"Mutare","SM20150526","20150528",3.21818263751374
"Mutasa","SM20150526","20150528",4.38473393186773
"Nyanga","SM20150526","20150528",4.92276712619614
"Bindura","SM20150526","20150528",3.34170424335704
"Guruve","SM20150526","20150528",3.08907700153549
"Mount Darwin","SM20150526","20150528",3.03921992173636
"Mazowe","SM20150526","20150528",4.49098920156317
"Centenary","SM20150526","20150528",3.63434624337807
"Rushinga","SM20150526","20150528",2.77725946306005
"Shamva","SM20150526","20150528",3.08617396520594
"Chikomba","SM20150526","20150528",4.61371952626662
"Goromonzi","SM20150526","20150528",4.95237474052527
"Marondera","SM20150526","20150528",6.23521841740355
"Mudzi","SM20150526","20150528",2.90994613906394
"Mutoko","SM20150526","20150528",2.7428072803966
"Murehwa","SM20150526","20150528",3.78876196147919
"UMP","SM20150526","20150528",2.82577530342604
"Seke","SM20150526","20150528",6.2150390197316
"Wedza","SM20150526","20150528",4.17708693583022
"Chirumhanzu","SM20150526","20150528",2.96747806935722
"Gokwe North","SM20150526","20150528",2.46274470574209
"Gokwe South","SM20150526","20150528",2.94350551824844
"Gweru","SM20150526","20150528",2.88851502289467
"Kwekwe","SM20150526","20150528",2.57214282952939
"Mberengwa","SM20150526","20150528",2.44935610538066
"Shurugwi","SM20150526","20150528",2.90796806127388
"Zvishavane","SM20150526","20150528",2.41562700618114
"Binga","SM20150526","20150528",3.72011870319654
"Bubi","SM20150526","20150528",2.50564877032924
"Hwange","SM20150526","20150528",2.64910491726485
"Lupane","SM20150526","20150528",2.69010200115385
"Nkayi","SM20150526","20150528",2.54539709902022
"Tsholotsho","SM20150526","20150528",2.44562821186796
"Umguza","SM20150526","20150528",2.60561018918884
"Beitbridge","SM20150526","20150528",2.2609491746673
"Bulilima (North)","SM20150526","20150528",2.34284107035268
"Gwanda","SM20150526","20150528",2.41296355167454
"Insiza","SM20150526","20150528",2.62317659963242
"Mangwe (South)","SM20150526","20150528",2.35572125874226
"Matobo","SM20150526","20150528",2.46981287012464
"Umzingwane","SM20150526","20150528",2.48751133139412
"Bikita","SM20150526","20150528",2.4627832218659
"Chiredzi","SM20150526","20150528",2.37679080944405
"Chivi","SM20150526","20150528",2.3550983744834
"Gutu","SM20150526","20150528",3.31683920776732
"Masvingo","SM20150526","20150528",2.41115070960667
"Mwenezi","SM20150526","20150528",2.4160054146293
"Zaka","SM20150526","20150528",2.4409029095257
"Chegutu","SM20150526","20150528",4.81173849404677
"Hurungwe","SM20150526","20150528",3.70282006967315
"Kadoma","SM20150526","20150528",3.35107755008221
"Kariba","SM20150526","20150528",8.87869490813843
"Makonde","SM20150526","20150528",3.41483851612007
"Zvimba","SM20150526","20150528",4.09555255319
"Harare","SM20150529","20150531",7.91029318007196
"Bulawayo","SM20150529","20150531",2.5181987237064
"Buhera","SM20150529","20150531",2.87209614936182
"Chimanimani","SM20150529","20150531",6.15111970579436
"Chipinge","SM20150529","20150531",3.27334745111151
"Makoni","SM20150529","20150531",4.22705986204556
"Mutare","SM20150529","20150531",3.03788501040229
"Mutasa","SM20150529","20150531",4.05129134673548
"Nyanga","SM20150529","20150531",4.61419099416293
"Bindura","SM20150529","20150531",3.01738173129978
"Guruve","SM20150529","20150531",2.89369583398995
"Mount Darwin","SM20150529","20150531",2.93617204408043
"Mazowe","SM20150529","20150531",4.05945509424222
