"District","Year","AverageNDVI","MaxNDVI","MinNDVI"
"Chikomba","2018",0.444675419115068,0.611372145,0.324142134
"Chikomba","2019",0.422390555205479,0.563530366,0.294242752
"Chikomba","2020",0.417487571333333,0.575984565,0.284255348
"Chikomba","2021",0.45405458189011,0.655676917,0.316011447
"Chimanimani","2000",0.594905938722034,0.711384297,0.462075195
"Chimanimani","2001",0.605032291282913,0.723458414,0.413575043
"Chimanimani","2002",0.592433571786301,0.715111413,0.483967475
"Chimanimani","2003",0.588413061690411,0.701750037,0.469693009
"Chimanimani","2004",0.588529705393443,0.72671469,0.464416519
"Chimanimani","2005",0.552230016668493,0.682094579,0.424465666
"Chimanimani","2006",0.586314692147945,0.736214739,0.43826962
"Chimanimani","2007",0.583391710643836,0.712048305,0.447006829
"Chimanimani","2008",0.567453007420765,0.729688537,0.446309371
"Chimanimani","2009",0.600618937983562,0.717578527,0.461416418
"Chimanimani","2010",0.594918097989041,0.708046882,0.454300154
"Chimanimani","2011",0.584616505657534,0.733876558,0.447868348
"Chimanimani","2012",0.56438944673224,0.700609234,0.430955888
"Chimanimani","2013",0.599085156745205,0.718589147,0.45094079
"Chimanimani","2014",0.586717693569863,0.725840827,0.441103682
"Chimanimani","2015",0.57961313540274,0.700655833,0.43394315
"Chimanimani","2016",0.563302490480874,0.691484545,0.429380892
"Chimanimani","2017",0.623638207567123,0.740216684,0.475372092
"Chimanimani","2018",0.601265184035616,0.743654138,0.472834533
"Chimanimani","2019",0.588132935671233,0.706092207,0.454840542
"Chimanimani","2020",0.577822660527322,0.705649139,0.427374741
"Chimanimani","2021",0.603901362041209,0.739643608,0.483045624
"Chipinge","2000",0.540524533071186,0.695245668,0.407329647
"Chipinge","2001",0.549570946569832,0.713512786,0.400914723
"Chipinge","2002",0.474466071142466,0.653778549,0.353716832
"Chipinge","2003",0.53859065090137,0.675579248,0.406986387
"Chipinge","2004",0.50494757947541,0.715308707,0.352526726
"Chipinge","2005",0.44798316060274,0.620562541,0.305608378
"Chipinge","2006",0.514892664,0.724566314,0.344643585
"Chipinge","2007",0.478400027147945,0.663603279,0.326159345
"Chipinge","2008",0.469123423800546,0.69639253,0.327124856
"Chipinge","2009",0.519705538717808,0.691715573,0.358513295
"Chipinge","2010",0.508672905479452,0.672820383,0.343706358
"Chipinge","2011",0.48087330009589,0.698836012,0.334743835
"Chipinge","2012",0.452963146819672,0.598145629,0.329286733
"Chipinge","2013",0.499092252747945,0.663717613,0.335910753
"Chipinge","2014",0.527049046860274,0.708105766,0.350498402
"Chipinge","2015",0.455175274410959,0.653311627,0.316145036
