"","District","YearBegin","MonthBegin","AverageSoilMoisture","MaxSoilMoisture","MinSoilMoisture","AverageIdeal","MaxIdeal","MinIdeal","AverageWet","MaxWet","MinWet","AverageDry","MaxDry","MinDry"
"229","Bindura",2021,"01",123.374916435776,128.372752195457,104.397803883348,0,0,0,1,1,1,0,0,0
"230","Bindura",2021,"02",120.298211357793,127.581570640596,116.248113954311,0,0,0,1,1,1,0,0,0
"231","Bindura",2021,"03",92.8798501708961,126.570015720775,55.0382355587315,0,0,0,1,1,1,0,0,0
"232","Bindura",2021,"04",27.3178670627199,47.6177237547859,17.1983025181698,0,0,0,1,1,1,0,0,0
"233","Bindura",2021,"05",24.3048170437482,29.4953764104141,18.4392818723905,0,0,0,1,1,1,0,0,0
"234","Bindura",2021,"06",17.5319318501839,19.3952057641604,15.08580527143,0,0,0,1,1,1,0,0,0
"235","Bindura",2021,"07",14.1954719451404,14.7825345620871,13.4560811193051,0,0,0,1,1,1,0,0,0
"236","Bindura",2021,"08",13.3708347437101,13.6226311963307,13.0388539848582,0,0,0,1,1,1,0,0,0
"237","Bindura",2021,"09",12.6826452772253,13.2219697664779,12.3097842739549,0,0,0,1,1,1,0,0,0
"238","Bindura",2021,"10",14.1021908605303,17.5929416775791,12.6292535282087,0,0,0,1,1,1,0,0,0
"239","Bindura",2021,"11",20.4467953165369,40.2694887339928,12.4423705025958,0,0,0,1,1,1,0,0,0
