"District","Year","AveragePRECIP","MaxPRECIP","MinPRECIP"
"Chikomba","2002",14.726873711289,42.9728708361294,0.512372983113449
"Chikomba","2003",21.6799295960951,75.6330255458168,0.141350523527331
"Chikomba","2004",29.4539957203174,98.3408114741831,0.330922367684965
"Chikomba","2005",22.6976985947645,121.862897401113,0.0205227492577643
"Chikomba","2006",22.7565271519846,82.4087293991855,0.0529061480513929
"Chikomba","2007",28.2958848143166,157.999873540448,0.16392617847068
"Chikomba","2008",20.7175326829114,106.12613295042,0.0444356559008941
"Chikomba","2009",19.7689601212174,49.6300491864775,0.108939046858965
"Chikomba","2010",23.7259248091368,65.6980712501442,0.0202011707808268
"Chikomba","2011",26.9660655458276,129.829192691223,0.013000127327032
"Chikomba","2012",16.0192134969465,54.0971939303711,0.00429229394398063
"Chikomba","2013",23.6391657342307,93.5408156962955,0.0257565999360796
"Chikomba","2014",27.1879148364815,108.738656501443,0.0209213642793995
"Chikomba","2015",18.5103756287688,52.2179212311319,0.0033582803189989
"Chikomba","2016",20.5770753406395,87.7509205322639,0.0208354129674833
"Chikomba","2017",27.4306466354379,101.052120586587,0.0475753061661689
"Chikomba","2018",24.1505495706176,148.01885446088,0.0158460774918614
"Chikomba","2019",14.3090917176008,50.4701936343137,0.00227592133474079
"Chimanimani","2000",14.0769948888084,45.9241035598166,0.348838356864072
"Chimanimani","2001",23.8736817315438,97.2971256625419,0.0638514398095568
"Chimanimani","2002",9.64252998796246,17.8673486059203,1.23168817699211
"Chimanimani","2003",11.2477074096884,41.6882441743916,0.103495499212181
"Chimanimani","2004",16.1176785314733,50.0923026388767,0.77047194678099
"Chimanimani","2005",9.88982715068224,58.5365770674219,0.0321439217364041
"Chimanimani","2006",10.3096553623218,37.9540539672562,0.0219721495972836
"Chimanimani","2007",18.2036692310562,76.0189306083847,0.153631285395571
"Chimanimani","2008",12.2903519756127,57.1162966079572,0.111443479161358
"Chimanimani","2009",11.3009589744114,28.5131617657694,0.411477266504046
"Chimanimani","2010",12.6210044944543,37.3609533300587,0.0159119775200488
"Chimanimani","2011",12.3317012135553,55.8272657173522,0.114095975469236
"Chimanimani","2012",8.62575987939129,18.5505836085654,0.00033661666743237
"Chimanimani","2013",15.1949697633661,61.9836290938013,0.11801705685665
"Chimanimani","2014",15.799435879086,59.0522251282253,0.110862436339684
"Chimanimani","2015",6.77077307395011,20.8152293606716,9.65131855670787e-06
"Chimanimani","2016",11.3828825176902,31.8523824537502,0.00756729683008755
"Chimanimani","2017",18.8731083756683,62.6599659375116,0.0690182367542886
"Chimanimani","2018",11.3489874617479,66.0832767860562,0.026838375396776
"Chimanimani","2019",9.55316273377989,29.5702542004048,0.0103013821610469
"Chipinge","2000",19.9156787845568,62.2986940688946,0.678136771613293
"Chipinge","2001",34.8517912098529,145.570698557765,0.156809538777794
"Chipinge","2002",12.8956402042679,26.6759314523608,0.695766249015087
"Chipinge","2003",18.6487309928192,77.2932095531155,0.166064723315032
"Chipinge","2004",21.3042191168554,64.1869379186163,1.09810850572973
"Chipinge","2005",10.8203032227045,55.5140133065336,0.0271058839466872
"Chipinge","2006",17.785772569003,53.4391575607015,0.0211450697047671
"Chipinge","2007",24.9583335515211,108.986304145116,0.383541453650048
"Chipinge","2008",16.9521249141425,97.4796065835392,0.41132357582717
"Chipinge","2009",16.1040307690057,45.3829771305124,0.665059867954138
"Chipinge","2010",17.9683260566447,55.5440567978457,0.00319888946727516
"Chipinge","2011",16.1789975214752,65.4144756405961,0.0323227580027842
"Chipinge","2012",11.7134483575837,26.7542572871727,1.94742817827729e-05
"Chipinge","2013",19.8333546452417,89.8191011594791,0.581884915004462
"Chipinge","2014",23.5322715243549,73.3478531837464,0.25912838780958
"Chipinge","2015",9.71565634051609,26.8894220130408,0
"Chipinge","2016",15.7129184618439,59.3310244705747,0.000348861630610533
"Chipinge","2017",26.2755639247291,97.5904654515725,0.0984714529303578
"Chipinge","2018",16.1406018179823,93.1357717653115,0.054842197061368
"Chipinge","2019",11.0302458472869,34.1330330631312,0.025044861134209
"Chiredzi","2000",47.7711980499616,116.523779188637,1.72481017404577
"Chiredzi","2001",68.7640617507271,264.464789573936,0.852085363851488
"Chiredzi","2002",26.4207729035659,69.1996482764389,2.34487146370423
"Chiredzi","2003",56.6670641009297,230.758141550393,1.10615347991869
"Chiredzi","2004",54.9174153731677,169.441919746761,2.12935534765456
"Chiredzi","2005",28.5609323404745,150.044974429788,0.276545794094173
"Chiredzi","2006",48.1821024570158,125.573752656638,0.197639030789105
"Chiredzi","2007",67.1648152039083,308.217623699763,0.904485827000801
"Chiredzi","2008",36.2148973703272,207.726544936907,0.370663963627819
